"ano_pesquisa","modelo_trabalho","total_profissionais","pct_modelo"
"2023","Modelo 100% remoto","2201","41.58"
"2023","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","972","18.36"
"2023","Modelo híbrido com dias fixos de trabalho presencial","790","14.93"
"2023","Modelo 100% presencial","790","14.93"
"2023","Não informado","540","10.2"
"2024","Modelo 100% remoto","2221","42.59"
"2024","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","998","19.14"
"2024","Modelo híbrido com dias fixos de trabalho presencial","850","16.3"
"2024","Modelo 100% presencial","792","15.19"
"2024","Não informado","354","6.79"
"2025","Modelo 100% remoto","1281","36.66"
"2025","Modelo 100% presencial","670","19.18"
"2025","Modelo híbrido com dias fixos de trabalho presencial","645","18.46"
"2025","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","631","18.06"
"2025","Não informado","267","7.64"
